Issue key,Issue id,Summary,Description,Issue Type,Priority,Component,Labels,Story Points,Epic Link,Status,Project key,Project name,Creator,Created,Updated
"STR-1","10001","Project Setup & Repository","Initialize Git repository with proper structure, set up development environment, configure code quality tools","Task","High","Infrastructure","setup,infrastructure","2","Foundation","To Do","STR","Strava Vagabond","admin","2025-08-29T11:50:23.000Z","2025-08-29T11:50:23.000Z"
"STR-2","10002","Development Environment Setup","Configure Node.js, PostgreSQL, Redis, install development tools, set up VS Code","Task","High","Infrastructure","setup,infrastructure","3","Foundation","To Do","STR","Strava Vagabond","admin","2025-08-29T11:50:23.000Z","2025-08-29T11:50:23.000Z"
"STR-3","10003","Code Quality Tools Configuration","Set up ESLint, Prettier, Husky pre-commit hooks, configure testing framework","Task","Medium","Infrastructure","setup,quality","2","Foundation","To Do","STR","Strava Vagabond","admin","2025-08-29T11:50:23.000Z","2025-08-29T11:50:23.000Z"
"STR-4","10004","Database Connection Setup","Establish Neon PostgreSQL connection, test connectivity, set up basic schema","Task","High","Database","database,infrastructure","2","Foundation","To Do","STR","Strava Vagabond","admin","2025-08-29T11:50:23.000Z","2025-08-29T11:50:23.000Z"
"STR-5","10005","Redis Connection Setup","Configure Upstash Redis connection, test connectivity, basic configuration","Task","High","Database","database,infrastructure","1","Foundation","To Do","STR","Strava Vagabond","admin","2025-08-29T11:50:23.000Z","2025-08-29T11:50:23.000Z"
"STR-6","10006","Environment Configuration","Set up environment variables, configuration management, health check endpoints","Task","Medium","Infrastructure","setup,infrastructure","2","Foundation","To Do","STR","Strava Vagabond","admin","2025-08-29T11:50:23.000Z","2025-08-29T11:50:23.000Z"
"STR-7","10007","Health Check Endpoints","Implement basic health check endpoints for infrastructure monitoring","Task","Medium","API","api,monitoring","1","Foundation","To Do","STR","Strava Vagabond","admin","2025-08-29T11:50:23.000Z","2025-08-29T11:50:23.000Z"
"STR-8","10008","Logging System Setup","Configure Winston logger with basic configuration and structured logging","Task","Medium","Infrastructure","logging,infrastructure","2","Foundation","To Do","STR","Strava Vagabond","admin","2025-08-29T11:50:23.000Z","2025-08-29T11:50:23.000Z"
"STR-9","10009","Strava OAuth Implementation","Implement complete Strava OAuth 2.0 flow with proper error handling","Task","High","Authentication","auth,strava","4","Authentication","To Do","STR","Strava Vagabond","admin","2025-08-29T11:50:23.000Z","2025-08-29T11:50:23.000Z"
"STR-10","10010","Token Management System","Store and encrypt Strava tokens, implement token refresh logic","Task","High","Security","auth,security","3","Authentication","To Do","STR","Strava Vagabond","admin","2025-08-29T11:50:23.000Z","2025-08-29T11:50:23.000Z"
"STR-11","10011","User Registration System","Create user registration and profile management endpoints","Task","High","API","auth,api","3","Authentication","To Do","STR","Strava Vagabond","admin","2025-08-29T11:50:23.000Z","2025-08-29T11:50:23.000Z"
"STR-12","10012","JWT Authentication System","Implement JWT token generation, validation, and session management","Task","High","Security","auth,security","3","Authentication","To Do","STR","Strava Vagabond","admin","2025-08-29T11:50:23.000Z","2025-08-29T11:50:23.000Z"
"STR-13","10013","Authentication Middleware","Create JWT validation middleware for protected routes","Task","High","Middleware","auth,middleware","2","Authentication","To Do","STR","Strava Vagabond","admin","2025-08-29T11:50:23.000Z","2025-08-29T11:50:23.000Z"
"STR-14","10014","User Management Endpoints","Implement CRUD operations for user management and profile updates","Task","Medium","API","api,user","3","Authentication","To Do","STR","Strava Vagabond","admin","2025-08-29T11:50:23.000Z","2025-08-29T11:50:23.000Z"
